timestamp,d_aX,d_aY,d_aZ,d_gX,d_gY,d_gZ
2025-08-24 03:29:56,0.08,0.0,-0.09,0.12,0.49,0.02
2025-08-24 03:29:57,0.05,-0.03,-0.11,0.46,0.73,0.55
2025-08-24 03:29:57,0.01,0.05,-0.11,0.14,0.52,-0.32
2025-08-24 03:29:57,0.01,-0.07,-0.07,0.66,0.56,0.31
2025-08-24 03:29:58,0.0,-0.03,0.01,0.11,0.75,0.24
2025-08-24 03:29:59,0.02,0.01,-0.06,0.23,0.63,-0.11
2025-08-24 03:29:59,0.04,0.0,-0.09,0.05,1.36,1.11
2025-08-24 03:30:00,0.01,-0.02,-0.07,-0.06,0.84,-0.17
2025-08-24 03:30:00,0.05,-0.04,-0.02,-0.08,0.37,-0.29
2025-08-24 03:30:01,0.03,0.03,-0.12,0.08,1.19,0.78
2025-08-24 03:30:01,0.04,-0.03,-0.07,0.06,0.78,0.44
2025-08-24 03:30:02,0.05,-0.02,-0.08,0.05,1.22,0.61
2025-08-24 03:30:02,0.02,-0.01,-0.06,0.17,0.82,0.61
2025-08-24 03:30:03,0.1,0.01,-0.17,-7.62,-0.02,8.26
2025-08-24 03:30:03,0.01,0.15,0.1,0.23,3.51,2.4
2025-08-24 03:30:04,-0.05,-0.23,-0.08,0.61,1.91,-3.77
2025-08-24 03:30:04,0.16,0.14,-0.36,-1.73,-1.76,2.29
2025-08-24 03:30:05,0.1,0.13,-0.06,-1.37,-1.18,1.16
2025-08-24 03:30:05,0.07,0.21,-0.18,-0.93,-1.65,-3.95
2025-08-24 03:30:06,-0.19,-0.22,-0.48,1.74,2.73,9.5
2025-08-24 03:30:06,0.02,0.32,0.0,-0.26,-3.15,-6.43
2025-08-24 03:30:07,-0.08,0.11,-0.12,-1.24,-1.44,-12.26
2025-08-24 03:30:07,0.06,0.07,-0.19,1.16,0.2,-5.42
2025-08-24 03:30:08,1.36,1.52,0.03,11.18,23.97,64.66
2025-08-24 03:30:08,-2.69,-1.28,2.05,82.0,-93.15,229.68
2025-08-24 03:30:09,-0.87,-0.04,0.81,3.39,-0.31,-9.89
2025-08-24 03:30:09,-0.57,-1.87,-1.93,-78.7,-17.66,152.98
2025-08-24 03:30:10,-3.56,-5.02,2.41,58.73,-20.08,197.83
2025-08-24 03:30:10,-5.56,-7.5,2.21,-3.73,17.59,21.4
2025-08-24 03:30:11,-4.42,-5.63,2.9,-69.33,55.05,-207.51
2025-08-24 03:30:11,-3.95,-7.09,0.04,-19.63,-31.77,44.76
2025-08-24 03:30:12,-3.29,-6.22,0.4,0.02,0.79,14.46
2025-08-24 03:30:12,-1.97,-5.33,-0.79,11.91,-152.34,103.28
2025-08-24 03:30:13,-1.24,-3.85,-0.98,-10.76,26.29,7.33
2025-08-24 03:30:13,-1.38,-3.83,-0.48,-0.37,5.51,3.77
2025-08-24 03:30:14,-1.43,-3.83,-0.59,-2.92,4.09,2.41
2025-08-24 03:30:14,-1.48,-3.94,-0.67,1.57,4.61,3.85
2025-08-24 03:30:15,-1.41,-4.07,-0.26,1.16,3.74,8.08
2025-08-24 03:30:15,-1.49,-4.13,-0.03,4.98,2.03,4.84
2025-08-24 03:30:16,-1.64,-4.52,0.1,5.83,5.3,10.4
2025-08-24 03:30:16,-2.01,-4.78,0.19,-0.23,-0.98,4.2
2025-08-24 03:30:17,-2.01,-4.58,-0.03,-6.93,-0.98,-8.67
2025-08-24 03:30:17,-1.81,-4.49,-0.23,-6.24,8.89,-1.13
2025-08-24 03:30:18,-1.71,-4.47,-0.21,-0.44,-1.25,3.04
2025-08-24 03:30:18,-1.79,-4.46,-0.18,-2.06,1.4,1.11
2025-08-24 03:30:19,-1.81,-4.51,-0.34,0.27,2.49,0.12
2025-08-24 03:30:19,-1.68,-4.44,-0.1,-1.24,4.85,8.09
2025-08-24 03:30:20,-1.7,-4.3,-0.05,0.55,2.2,0.38
2025-08-24 03:30:20,-1.59,-4.33,-0.01,0.7,1.53,0.75
2025-08-24 03:30:21,-1.56,-4.22,-0.12,-2.02,0.27,4.78
2025-08-24 03:30:21,-1.58,-4.33,-0.08,-0.44,1.36,1.79
2025-08-24 03:30:22,-1.64,-4.31,-0.13,-0.44,0.11,0.27
2025-08-24 03:30:22,-1.69,-4.38,-0.04,-0.61,-0.03,-0.49
2025-08-24 03:30:23,-1.68,-4.33,-0.04,-0.08,1.08,0.03
2025-08-24 03:30:23,-1.65,-4.34,0.06,0.85,0.87,-0.05
2025-08-24 03:30:24,-1.68,-4.32,-0.0,-0.56,1.53,0.43
2025-08-24 03:30:24,-1.69,-4.34,0.03,0.43,1.44,0.2
2025-08-24 03:30:25,-1.56,-4.24,0.04,-0.27,0.98,-3.01
2025-08-24 03:30:25,-1.65,-4.28,0.11,-0.64,0.08,2.73
2025-08-24 03:30:26,-1.6,-4.21,-0.05,0.24,-0.03,5.33
2025-08-24 03:30:26,-1.81,-4.56,0.1,-1.79,2.55,1.94
2025-08-24 03:30:27,-1.74,-4.4,0.03,0.44,-2.21,0.15
2025-08-24 03:30:27,-1.75,-4.45,-0.03,1.04,5.65,1.31
